reg_number,bank,branch_name,address,city,branch_phone,url,note,history
0340,Nordea,Nordea Ringsted Afdeling,"Torvet 10 - 12, 4100 Ringsted",Ringsted,+4570333333,www.nordea.dk,Ringsted,
0341,Nordea,Nordea Slagelse Afdeling,"Smedegade 8, 4200 Slagelse",Slagelse,+4570333333,www.nordea.dk,Slagelse,
0342,Nordea,Nordea Sorø Afdeling,"Storgade 22, 4180 Sorø",Sorø,+4570333333,www.nordea.dk,Sorø,
0343,Nordea,Nordea Korsør Afdeling,"Algade 38-40, 4220 Korsør",Korsør,+4570333333,www.nordea.dk,Korsør,
0344,Nordea,Nordea Næstved Afdeling,"Axeltorv 2, 4700 Næstved",Næstved,+4570333333,www.nordea.dk,Næstved,
0345,Nordea,Nordea Haslev Afdeling,"Jernbanegade 27, 4690 Haslev",Haslev,+4570333333,www.nordea.dk,Haslev,
0346,Nordea,Nordea Næstved Afdeling,"Axeltorv 2, 4700 Næstved",Næstved,+4570333333,www.nordea.dk,Næstved,
0347,Nordea,Nordea Næstved Afdeling,"Axeltorv 2, 4700 Næstved",Næstved,+4570333333,www.nordea.dk,Næstved,
0352,Nordea,Nordea Næstved Afdeling,"Axeltorv 2, 4700 Næstved",Næstved,+4570333333,www.nordea.dk,Næstved,
0354,Nordea,Nordea Ringsted Afdeling,"Torvet 10 - 12, 4100 Ringsted",Ringsted,+4570333333,www.nordea.dk,Ringsted,
0373,Nordea,Nordea Slagelse Afdeling,"Smedegade 8, 4200 Slagelse",Slagelse,+4570333333,www.nordea.dk,Slagelse,
0378,Nordea,Nordea Dianalund Afdeling,"Torvet 1, 4293 Dianalund",Dianalund,+4570333333,www.nordea.dk,Dianalund,Høng
0379,Nordea,,,,,www.nordea.dk,,
0385,Nordea,Nordea Dianalund Afdeling,"Torvet 1, 4293 Dianalund",Dianalund,+4570333333,www.nordea.dk,Dianalund,
0388,Nordea,Nordea Slagelse Afdeling,"Smedegade 8, 4200 Slagelse",Slagelse,+4570333333,www.nordea.dk,Slagelse,
0390,Nordea,Nordea Hvalsø Afdeling,"Hovedgaden 22, 4330 Hvalsø",Hvalsø,+4570333333,www.nordea.dk,Hvalsø,
0392,Nordea,Nordea Viby Sj. Afdeling,"Søndergade 8, 4130 Viby Sjælland",Viby Sjælland,+4570333333,www.nordea.dk,Viby Sjælland,
0393,Nordea,Nordea Solrød Center Afdeling,"Solrød Center 130, 2680 Solrød Strand",Solrød Strand,+4570333333,www.nordea.dk,Tune,
0400,Lån og Spar Bank,Lån og Spar Bank,"Højbro Plads 9-11, 1200 København K",København K,+4533782000,www.lsb.dk,Hovedkontoret,
0404,Lån og Spar Bank,Lån og Spar Bank,"Højbro Plads 9-11, 1200 København K",København K,+4533782000,www.lsb.dk,Højbro Plads,
